,TeamHome,ScoreHome,ScoreAway,TeamAway,Year
0,Perú,33,27,Yugoslavia,1950
1,Egipto,43,37,Ecuador,1950
2,Estados Unidos,37,33,Chile,1950
3,Brasil,40,33,Perú,1950
4,Argentina,56,40,Francia,1950
5,Egipto,57,56,España,1950
6,Chile,40,24,Yugoslavia,1950
7,Francia,48,43,Ecuador,1950
8,Francia,49,46,Perú,1950
9,Chile,54,40,España,1950
10,3 España 4 3 1 2,89,97,-8,1950
11,4 Yugoslavia 4 4 0 4,110,126,-16,1950
12,Ecuador,45,40,Yugoslavia,1950
13,Perú,43,37,España,1950
14,Perú,46,43,Yugoslavia,1950
15,Ecuador,54,50,España,1950
16,España,2,0,(multa) Yugoslavia,1950
17,Perú,51,43,Ecuador,1950
18,4 Chile 7 5 2 3,209,233,-24,1950
19,5 Egipto 7 5 2 3,158,208,-50,1950
20,6 Francia 5 5 0 5,173,252,-79,1950
21,Estados Unidos,34,32,Egipto,1950
22,Chile,48,44,Francia,1950
23,Egipto,31,28,Francia,1950
24,Argentina,40,35,Brasil,1950
25,Estados Unidos,45,42,Brasil,1950
26,Argentina,62,41,Chile,1950
27,Brasil,38,19,Egipto,1950
28,Argentina,66,41,Francia,1950
29,Estados Unidos,44,29,Chile,1950
30,Argentina,68,33,Egipto,1950
31,Estados Unidos,48,33,Francia,1950
32,Chile,51,40,Brasil,1950
33,Egipto,43,40,Chile,1950
34,Brasil,59,27,Francia,1950
35,Argentina,64,50,Estados Unidos,1950
36,Canadá,68,58,Perú,1954
37,Estados Unidos,59,37,Canadá,1954
38,Estados Unidos,73,51,Perú,1954
39,Filipinas,64,52,Paraguay,1954
40,Brasil,99,63,Filipinas,1954
41,Brasil,61,52,Paraguay,1954
42,Uruguay,55,52,Yugoslavia,1954
43,Francia,67,60,Yugoslavia,1954
44,Uruguay,58,46,Francia,1954
45,Taiwán,49,45,Israel,1954
46,Chile,68,66,Taiwán,1954
47,Israel,55,49,Chile,1954
48,Chile,70,62,Yugoslavia,1954
49,Paraguay,66,58,Perú,1954
50,Yugoslavia,86,84,Perú,1954
51,Paraguay,60,57,Chile,1954
52,Paraguay,67,62,Yugoslavia,1954
53,Chile,52,48,Perú,1954
54,Canadá,50,43,Israel,1954
55,Estados Unidos,56,43,Filipinas,1954
56,Francia,57,49,Uruguay,1954
57,Brasil,61,44,Taiwán,1954
58,Canadá,67,66,Uruguay,1954
59,Brasil,68,46,Israel,1954
60,Estados Unidos,70,49,Francia,1954
61,Filipinas,48,38,Taiwán,1954
62,Estados Unidos,64,59,Uruguay,1954
63,Brasil,82,67,Canadá,1954
64,Francia,58,48,Taiwán,1954
65,Estados Unidos,84,50,Canadá,1954
66,Filipinas,90,56,Israel,1954
67,Israel,48,45,Francia,1954
68,Brasil,57,41,Filipinas,1954
69,Uruguay,67,62,Taiwán,1954
70,Brasil,49,36,Francia,1954
71,Estados Unidos,72,28,Taiwán,1954
72,Filipinas,83,76,Canadá,1954
73,Filipinas,66,60,Francia,1954
74,Uruguay,73,69,Israel,1954
75,Taiwán,74,61,Canadá,1954
76,Brasil,60,45,Uruguay,1954
77,Francia,66,62,Canadá,1954
78,Estados Unidos,74,30,Israel,1954
79,Taiwán,51,38,Israel,1954
80,Estados Unidos,62,41,Brasil,1954
81,Filipinas,67,63,Uruguay,1954
82,Taiwán,71,69,Egipto,1959
83,Estados Unidos,87,73,Argentina,1959
84,Argentina,65,52,Egipto,1959
85,Estados Unidos,81,73,Taiwán,1959
86,Taiwán,63,59,Argentina,1959
87,Estados Unidos,103,58,Egipto,1959
88,Brasil,69,52,Canadá,1959
89,URSS,102,72,México,1959
90,Canadá,54,51,México,1959
91,URSS,73,64,Brasil,1959
92,Canadá,63,54,URSS,1959
93,Brasil,78,50,México,1959
94,Bulgaria,67,55,Puerto Rico,1959
95,Filipinas,68,59,Uruguay,1959
96,Puerto Rico,78,64,Uruguay,1959
97,Bulgaria,85,61,Filipinas,1959
98,Bulgaria,65,58,Uruguay,1959
99,Puerto Rico,76,63,Filipinas,1959
100,Filipinas,66,65,Egipto,1959
101,Egipto,71,69,Canadá,1959
102,Filipinas,79,65,Canadá,1959
103,Uruguay,51,48,Argentina,1959
104,Uruguay,54,47,México,1959
105,Argentina,75,66,México,1959
106,Argentina,61,59,Egipto,1959
107,Canadá,64,56,México,1959
108,Filipinas,78,70,Uruguay,1959
109,Chile,86,85,Taiwán,1959
110,Estados Unidos,63,58,Bulgaria,1959
111,URSS,84,55,Puerto Rico,1959
112,Chile,83,71,Puerto Rico,1959
113,Brasil,94,76,Taiwán,1959
114,Estados Unidos,54,53,Puerto Rico,1959
115,Brasil,62,53,Bulgaria,1959
116,URSS,66,63,Brasil,1959
117,Bulgaria,76,71,Chile,1959
118,URSS,78,58,Bulgaria,1959
119,Estados Unidos,85,69,Taiwán,1959
120,URSS,75,49,Chile,1959
121,Puerto Rico,85,81,Taiwán,1959
122,URSS,62,37,Estados Unidos,1959
123,Brasil,99,71,Puerto Rico,1959
124,Estados Unidos,66,55,Chile,1959
125,Bulgaria,70,62,Puerto Rico,1959
126,Taiwán,2,0,(multa) Bulgaria,1959
127,Brasil,81,67,Estados Unidos,1959
128,Taiwán,2,0,(multa) URSS,1959
129,Brasil,73,49,Chile,1959
130,URSS,58,45,Canadá,1963
131,Francia,64,54,Uruguay,1963
132,Uruguay,66,56,Canadá,1963
133,URSS,70,57,Francia,1963
134,Francia,79,57,Canadá,1963
135,URSS,94,75,Uruguay,1963
136,Yugoslavia,84,67,Perú,1963
137,Puerto Rico,86,65,Japón,1963
138,Puerto Rico,70,64,Perú,1963
139,Yugoslavia,95,63,Japón,1963
140,Japón,70,50,Perú,1963
141,Yugoslavia,83,78,Puerto Rico,1963
142,Estados Unidos,88,74,México,1963
143,Italia,91,73,Argentina,1963
144,Estados Unidos,81,51,Argentina,1963
145,Italia,90,82,México,1963
146,México,84,82,Argentina,1963
147,Estados Unidos,87,77,Italia,1963
148,Perú,66,59,Canadá,1963
149,Uruguay,79,63,Japón,1963
150,Argentina,88,86,México,1963
151,Uruguay,67,66,Perú,1963
152,México,87,73,Canadá,1963
153,Argentina,97,83,Uruguay,1963
154,Uruguay,76,73,México,1963
155,Canadá,78,74,Japón,1963
156,Argentina,84,78,Perú,1963
157,Japón,35,36,Argentina,1963
158,Canadá,73,71,México,1963
159,Perú,95,85,Japón,1963
160,Estados Unidos,81,61,Francia,1963
161,URSS,58,48,Francia,1963
162,Brasil,62,55,Puerto Rico,1963
163,Francia,67,60,Puerto Rico,1963
164,Yugoslavia,73,57,Puerto Rico,1963
165,URSS,75,74,Estados Unidos,1963
166,Yugoslavia,75,73,Estados Unidos,1963
167,Yugoslavia,85,74,Italia,1963
168,URSS,64,55,Puerto Rico,1963
169,Francia,67,63,Italia,1963
170,Brasil,81,62,Italia,1963
171,Brasil,90,71,Yugoslavia,1963
172,Brasil,77,63,Francia,1963
173,URSS,83,63,Italia,1963
174,Estados Unidos,88,64,Puerto Rico,1963
175,Puerto Rico,75,72,Italia,1963
176,Brasil,90,79,URSS,1963
177,Estados Unidos,101,73,Italia,1963
178,Yugoslavia,69,67,URSS,1963
179,Brasil,85,81,Estados Unidos,1963
180,Yugoslavia,99,63,Francia,1963
181,Estados Unidos,67,56,Italia,1967
182,Yugoslavia,86,73,México,1967
183,Yugoslavia,71,62,Italia,1967
184,Estados Unidos,75,65,México,1967
185,Estados Unidos,76,71,Yugoslavia,1967
186,México,78,60,Italia,1967
187,Argentina,69,63,Japón,1967
188,URSS,84,46,Perú,1967
189,Argentina,73,65,Perú,1967
190,URSS,95,56,Japón,1967
191,Perú,81,58,Japón,1967
192,URSS,105,66,Argentina,1967
193,Polonia,76,64,Puerto Rico,1967
194,Brasil,85,41,Paraguay,1967
195,Brasil,83,67,Polonia,1967
196,Puerto Rico,86,52,Paraguay,1967
197,Brasil,92,56,Puerto Rico,1967
198,Polonia,101,60,Paraguay,1967
199,Perú,57,52,Puerto Rico,1967
200,México,65,46,Paraguay,1967
201,Italia,91,58,Paraguay,1967
202,México,56,44,Perú,1967
203,Italia,74,47,Japón,1967
204,Japón,86,79,Puerto Rico,1967
205,México,65,59,Puerto Rico,1967
206,Italia,68,46,Perú,1967
207,Japón,80,55,Paraguay,1967
208,México,69,54,Japón,1967
209,Puerto Rico,78,69,Paraguay,1967
210,Italia,78,74,Perú,1967
211,Brasil,63,45,Uruguay,1967
212,Estados Unidos,76,66,Argentina,1967
213,URSS,86,61,Polonia,1967
214,URSS,78,74,Brasil,1967
215,Argentina,79,75,Uruguay,1967
216,Yugoslavia,82,78,Polonia,1967
217,Yugoslavia,87,84,Brasil,1967
218,Estados Unidos,88,53,Uruguay,1967
219,URSS,96,61,Argentina,1967
220,Estados Unidos,59,58,URSS,1967
221,Brasil,90,85,Polonia,1967
222,Yugoslavia,93,69,Argentina,1967
223,URSS,60,54,Uruguay,1967
224,Polonia,65,58,Argentina,1967
225,Yugoslavia,73,72,Estados Unidos,1967
226,Uruguay,58,57,Yugoslavia,1967
227,Brasil,74,66,Argentina,1967
228,Estados Unidos,91,61,Polonia,1967
229,URSS,71,59,Yugoslavia,1967
230,Polonia,72,62,Uruguay,1967
231,Brasil,80,71,Estados Unidos,1967
232,Estados Unidos,74,53,Cuba,1970
233,Checoslovaquia,94,70,Australia,1970
234,Checoslovaquia,82,80,Cuba,1970
235,Estados Unidos,99,62,Australia,1970
236,Cuba,72,53,Australia,1970
237,Estados Unidos,99,86,Checoslovaquia,1970
238,Brasil,82,77,Corea del Sur,1970
239,Italia,84,69,Canadá,1970
240,Brasil,94,93,Italia,1970
241,Corea del Sur,97,88,Canadá,1970
242,Italia,77,66,Corea del Sur,1970
243,Brasil,112,59,Canadá,1970
244,Uruguay,90,73,Egipto,1970
245,URSS,110,52,Panamá,1970
246,URSS,71,53,Uruguay,1970
247,Panamá,107,77,Egipto,1970
248,Uruguay,79,77,Panamá,1970
249,URSS,121,56,Egipto,1970
250,Panamá,91,88,Corea del Sur,1970
251,Australia,95,81,Egipto,1970
252,Cuba,98,65,Canadá,1970
